NMLSID,Name,Street,City,State,Zip,IsCompany,LoanCount,LOs,LoanVolume_display,LoanVolume_raw
1280553,"NFM, Inc., Greenville, SC Branch (NFM Lending)",9 Washington Park,Greenville,SC,29601,False,0,0,$0,0
1308745,"NFM, Inc., Palm Harbor, FL Branch (NFM Lending)",33920 U.S. Highway 19 N,Palm Harbor,FL,34684,False,42,4,"$13,622,921",13622921
1372347,"NFM, Inc., Franklin, TN Branch (NFM Lending)",3333 Aspen Grove Dr,Franklin,TN,37067,False,0,0,$0,0
1403598,"NFM, Inc., New Orleans, LA Branch (NFM Lending)",5160 Wilton Dr,New Orleans,LA,70122,False,0,0,$0,0
1418618,"NFM, Inc., Richmond, VA Branch (NFM Lending)",1127 West Main Street,Richmond,VA,23220,False,289,6,"$109,378,692",109378692
1448785,"NFM, Inc., Raynham, MA Branch (NFM Lending)",1470 New State Highway,Raynham,MA,02767,False,0,0,$0,0
1471970,"NFM, Inc., Fountain Hills, AZ Branch (NFM Lending)",16810 Avenue of the Fountains,Fountain Hills,AZ,85268,False,0,0,$0,0
1490627,"NFM, Inc., Tempe, AZ Branch (NFM Lending)",58 S River Drive,Tempe,AZ,85288,False,"2,475",33,"$1,134,308,253",1134308253
1527241,"NFM, Inc., Bethesda, MD Branch (NFM Lending)",8311 Wisconsin Avenue,Bethesda,MD,20814,False,0,0,$0,0
1534071,"NFM, Inc., Clearwater, FL Branch (NFM Lending)",1700 N. McMullen Booth Road,Clearwater,FL,33759,False,0,0,$0,0
1543378,"NFM, Inc., North Attleboro, MA Branch (NFM Lending)",521 Mt. Hope St.,North Attleboro,MA,02760,False,0,0,$0,0
1550395,"NFM, Inc., Baltimore, MD Branch (NFM Lending)",1201 Eastern Boulevard,Baltimore,MD,21221,False,0,0,$0,0
1566780,"NFM, Inc., Columbus, OH Branch (NFM Lending)",One Easton Oval,Columbus,OH,43219,False,"1,880",53,"$518,075,278",518075278
1574122,"NFM, Inc., Brenham, TX Branch (NFM Lending)",105 East Main Street,Brenham,TX,77833,False,21,1,"$4,609,674",4609674
1590593,"NFM, Inc., Ashland, VA Branch (NFM Lending)",100 England Street,Ashland,VA,23005,False,0,0,$0,0
1602473,"NFM, Inc., Orange, VA Branch (NFM Lending)",129 Byrd Street,Orange,VA,22960,False,44,5,"$13,824,389",13824389
1607612,"NFM, Inc., Annapolis, MD Branch (NFM Lending)",111 Forbes Street,Annapolis,MD,21401,False,228,7,"$99,729,501",99729501
1633721,"NFM, Inc., Linthicum, MD Branch (NFM Lending Partners)",1190 Winterson Road,Linthicum,MD,21090,False,0,0,$0,0
1642939,"NFM, Inc., Culpeper, VA Branch (NFM Lending)",210 North Main Street,Culpeper,VA,22701,False,144,2,"$52,487,414",52487414
1674989,"NFM, Inc., Costa Mesa, CA Branch (NFM Lending)",2755 Bristol St,Costa Mesa,CA,92626,False,0,0,$0,0
